"TraitSpace","Axis","Eigenvalue","%Variance","%Cumulative"
"LMD","1",121.453,41.788,41.788
"LMD","2",52.453,18.047,59.835
"LMD","3",30.354,10.444,70.279
"LMD","4",24.533,8.441,78.72
"LMD","5",12.581,4.329,83.049
"LMD","6",10.272,3.534,86.583
"LMD","7",8.031,2.763,89.346
"LMD","8",7.312,2.516,91.862
"LMD","9",5.333,1.835,93.697
"LMD","10",3.587,1.234,94.931
"LMD","11",2.939,1.011,95.942
"LMD","12",2.186,0.752,96.694
"LMD","13",1.983,0.682,97.377
"LMD","14",1.794,0.617,97.994
"LMD","15",1.349,0.464,98.458
"LMD","16",0.976,0.336,98.794
"LMD","17",0.92,0.316,99.11
"LMD","18",0.745,0.256,99.367
"LMD","19",0.621,0.214,99.58
"LMD","20",0.593,0.204,99.784
"LMD","21",0.285,0.098,99.882
"LMD","22",0.199,0.068,99.951
"LMD","23",0.141,0.049,99.999
"LMD","24",0.003,0.001,100
"M","1",162.083,76.231,76.231
"M","2",37.634,17.7,93.931
"M","3",7.494,3.525,97.455
"M","4",2.794,1.314,98.77
"M","5",1.726,0.812,99.581
"M","6",0.553,0.26,99.841
"M","7",0.332,0.156,99.998
"M","8",0.005,0.002,100
"D","1",858.833,41.616,41.616
"D","2",389.284,18.863,60.479
"D","3",289.335,14.02,74.499
"D","4",178.195,8.635,83.134
"D","5",133.381,6.463,89.597
"D","6",106.443,5.158,94.754
"D","7",45.334,2.197,96.951
"D","8",33.124,1.605,98.556
"D","9",20.468,0.992,99.548
"D","10",9.327,0.452,100
"L","1",63.733,64.278,64.278
"L","2",21.144,21.325,85.603
"L","3",5.613,5.661,91.265
"L","4",4.884,4.926,96.191
"L","5",2.549,2.571,98.762
"L","6",1.228,1.238,100
