"","LMD.Axis 1","LMD.Axis 2","LMD.Axis 3","LMD.Axis 4","M.Axis 1","M.Axis 2","D.Axis 1","D.Axis 2","L.Axis 1","L.Axis 2","L.Axis 3","L.Axis 4"
"trl",0.724,-0.401,0.269,-0.23,0.771,0.485,NA,NA,NA,NA,NA,NA
"wl",0.965,-0.195,-0.03,0.049,0.991,-0.03,NA,NA,NA,NA,NA,NA
"kd",0.833,-0.011,-0.373,0.225,0.842,-0.536,NA,NA,NA,NA,NA,NA
"s1",0.881,-0.275,0.26,-0.13,0.914,0.347,NA,NA,NA,NA,NA,NA
"hwl",0.436,0.185,-0.617,0.339,0.426,-0.901,NA,NA,NA,NA,NA,NA
"tll",0.767,-0.178,0.178,0.028,0.808,0.208,NA,NA,NA,NA,NA,NA
"bmA",0.955,-0.182,0.08,-0.091,0.962,0.155,NA,NA,NA,NA,NA,NA
"svl",0.958,-0.198,0.072,-0.032,0.975,0.14,NA,NA,NA,NA,NA,NA
"ls",0.014,-0.008,-0.156,-0.444,NA,NA,NA,NA,-0.032,0.997,0.049,-0.032
"em",0.931,-0.269,0.062,-0.05,NA,NA,NA,NA,0.976,0.058,-0.106,0.177
"inc",0.777,-0.213,-0.196,0.153,NA,NA,NA,NA,0.883,-0.09,-0.175,-0.291
"lg",0.803,0.017,-0.007,0.041,NA,NA,NA,NA,0.807,-0.094,0.575,0.012
"fled",0.767,-0.063,-0.25,0.176,NA,NA,NA,NA,0.828,-0.042,0.017,-0.501
"ly",-0.533,0.415,0.128,-0.04,NA,NA,NA,NA,-0.642,-0.135,0.257,0.265
"DI",-0.537,-0.789,0.088,0.051,NA,NA,-0.946,-0.162,NA,NA,NA,NA
"DVd",0.342,-0.087,-0.128,0.075,NA,NA,0.092,0.129,NA,NA,NA,NA
"DVt",0.276,-0.19,-0.05,0.048,NA,NA,-0.028,0.068,NA,NA,NA,NA
"DVf",0.334,-0.143,-0.193,0.133,NA,NA,0.018,0.116,NA,NA,NA,NA
"DVk",0.083,-0.041,-0.003,0.008,NA,NA,0.003,0.01,NA,NA,NA,NA
"DSv",0.227,-0.055,-0.062,0.046,NA,NA,0.052,0.06,NA,NA,NA,NA
"DF",0.235,0.588,0.688,0.222,NA,NA,0.667,-0.697,NA,NA,NA,NA
"DN",-0.189,0.419,-0.486,0.503,NA,NA,0.213,0.154,NA,NA,NA,NA
"DSd",0.048,0.417,-0.257,-0.783,NA,NA,0.397,0.657,NA,NA,NA,NA
"DP",0.321,0.161,-0.158,-0.287,NA,NA,0.297,0.271,NA,NA,NA,NA
